         2762322 function calls (2682407 primitive calls) in 3.838 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8342    0.003    0.000    0.033    0.000 <__array_function__ internals>:177(diag)
        1    0.000    0.000    0.033    0.033 contour.py:1(<module>)
     8502    0.006    0.000    0.033    0.000 fromnumeric.py:2307(any)
      729    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       11    0.000    0.000    0.031    0.003 artist.py:1349(pprint_setters)
     8342    0.007    0.000    0.031    0.000 numeric.py:218(ones_like)
        1    0.000    0.000    0.030    0.030 _kdtree.py:3(<module>)
     1206    0.004    0.000    0.030    0.000 _linesearch.py:274(phi)
    17224    0.004    0.000    0.029    0.000 _methods.py:60(_all)
     2192    0.001    0.000    0.029    0.000 re.py:289(_compile)
    16687    0.007    0.000    0.028    0.000 <__array_function__ internals>:177(concatenate)
        1    0.028    0.028    0.028    0.028 {namedWindow}
     8342    0.005    0.000    0.028    0.000 fromnumeric.py:2406(all)
      706    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     8766    0.008    0.000    0.027    0.000 _differentiable_functions.py:240(update_x)
        1    0.000    0.000    0.027    0.027 text.py:1(<module>)
    33992    0.007    0.000    0.027    0.000 function_base.py:870(copy)
      706    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      192    0.001    0.000    0.026    0.000 sre_compile.py:759(compile)
     8342    0.021    0.000    0.026    0.000 twodim_base.py:240(diag)
        1    0.000    0.000    0.026    0.026 _minimize.py:1(<module>)
    25026    0.014    0.000    0.024    0.000 fromnumeric.py:1755(ravel)
        1    0.003    0.003    0.024    0.024 submission.py:363(compute_alpha)
        1    0.000    0.000    0.023    0.023 _axes.py:1(<module>)
     1151    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.023    0.023 minimize_trustregion_constr.py:1(<module>)
    16684    0.007    0.000    0.023    0.000 fromnumeric.py:198(reshape)
     2495    0.013    0.000    0.022    0.000 inspect.py:625(cleandoc)
        1    0.000    0.000    0.021    0.021 _laplacian.py:1(<module>)
     8344    0.003    0.000    0.020    0.000 <__array_function__ internals>:177(where)
    34390    0.020    0.000    0.020    0.000 {built-in method numpy.array}
     1000    0.010    0.000    0.020    0.000 _linesearch.py:462(_cubicmin)
        1    0.000    0.000    0.020    0.020 collections.py:1(<module>)
     2246    0.001    0.000    0.020    0.000 inspect.py:606(getdoc)
        1    0.000    0.000    0.019    0.019 _constraints.py:1(<module>)
      110    0.000    0.000    0.019    0.000 re.py:250(compile)
    50223    0.019    0.000    0.019    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.018    0.018 parallel.py:1(<module>)
    84380    0.017    0.000    0.017    0.000 {built-in method numpy.asanyarray}
       12    0.002    0.000    0.017    0.001 artist.py:1277(_get_setters_and_targets)
      100    0.000    0.000    0.017    0.000 _optimize.py:244(_prepare_scalar_function)
      100    0.001    0.000    0.017    0.000 _differentiable_functions.py:86(__init__)
        3    0.005    0.002    0.016    0.005 submission.py:96(get_edge_vectors)
    16687    0.006    0.000    0.016    0.000 fromnumeric.py:51(_wrapfunc)
      192    0.000    0.000    0.016    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.015    0.015 rcsetup.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _parallel_backends.py:1(<module>)
        1    0.000    0.000    0.015    0.015 pool.py:1(<module>)
  465/192    0.001    0.000    0.015    0.000 sre_parse.py:435(_parse_sub)
      408    0.001    0.000    0.015    0.000 artist.py:1241(get_valid_values)
  532/198    0.006    0.000    0.014    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.014    0.014 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.014    0.014 multiarray.py:1(<module>)
        1    0.000    0.000    0.014    0.014 async_case.py:1(<module>)
        1    0.000    0.000    0.014    0.014 overrides.py:1(<module>)
     1614    0.001    0.000    0.013    0.000 artist.py:1319(is_alias)
        1    0.000    0.000    0.013    0.013 memory.py:1(<module>)
        2    0.000    0.000    0.013    0.007 core.py:1(<module>)
        1    0.000    0.000    0.013    0.013 fontconfig_pattern.py:1(<module>)
   118225    0.012    0.000    0.013    0.000 {built-in method builtins.isinstance}
     8344    0.003    0.000    0.012    0.000 <__array_function__ internals>:177(copyto)
      597    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.012    0.012 textpath.py:1(<module>)
        1    0.000    0.000    0.011    0.011 lgmres.py:4(<module>)
     8342    0.004    0.000    0.011    0.000 <__array_function__ internals>:177(empty_like)
       12    0.000    0.000    0.011    0.001 artist.py:1193(__init__)
    33952    0.007    0.000    0.011    0.000 numeric.py:1873(isscalar)
       12    0.001    0.000    0.011    0.001 artist.py:1213(get_aliases)
        1    0.000    0.000    0.011    0.011 pyparsing.py:27(<module>)
      598    0.002    0.000    0.011    0.000 inspect.py:1102(getfullargspec)
        3    0.002    0.001    0.011    0.004 submission.py:77(identification_function_parameter_register)
    17849    0.010    0.000    0.010    0.000 {method 'astype' of 'numpy.ndarray' objects}
       27    0.000    0.000    0.010    0.000 __init__.py:973(rc_params_from_file)
        1    0.000    0.000    0.010    0.010 mathtext.py:1(<module>)
      192    0.000    0.000    0.010    0.000 sre_compile.py:598(_code)
  670/665    0.001    0.000    0.010    0.000 inspect.py:2218(_signature_from_callable)
        1    0.000    0.000    0.010    0.010 base_events.py:1(<module>)
     8342    0.004    0.000    0.010    0.000 _numdiff.py:204(<listcomp>)
    69901    0.010    0.000    0.010    0.000 {built-in method numpy.asarray}
      707    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.009    0.009 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.009    0.009 distance.py:1(<module>)
      501    0.000    0.000    0.009    0.000 re.py:198(search)
        1    0.000    0.000    0.009    0.009 core.py:151(load_base_library)
        1    0.000    0.000    0.009    0.009 core.py:182(read_style_directory)
       27    0.001    0.000    0.008    0.000 __init__.py:911(_rc_params_in_file)
     1789    0.001    0.000    0.008    0.000 __init__.py:777(__setitem__)
      662    0.003    0.000    0.008    0.000 inspect.py:2124(_signature_from_function)
        3    0.001    0.000    0.008    0.003 function_base.py:2300(__call__)
        1    0.000    0.000    0.008    0.008 reusable_executor.py:6(<module>)
127279/126158    0.008    0.000    0.008    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.008    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.007    0.007 process_executor.py:15(<module>)
     2787    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
       23    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:746(create_module)
       23    0.007    0.000    0.007    0.000 {built-in method _imp.create_builtin}
 1068/192    0.003    0.000    0.007    0.000 sre_compile.py:71(_compile)
     2846    0.003    0.000    0.007    0.000 _ufunc_config.py:32(seterr)
        3    0.004    0.001    0.007    0.002 function_base.py:2399(_vectorize_call)
        1    0.000    0.000    0.007    0.007 _axes.py:97(Axes)
        1    0.007    0.007    0.007    0.007 {imread}
     1180    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
11147/11010    0.002    0.000    0.007    0.000 {method 'join' of 'str' objects}
     6045    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2843    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.007    0.007 __init__.py:7(<module>)
    36421    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
    77564    0.006    0.000    0.006    0.000 multiarray.py:736(dot)
    16964    0.006    0.000    0.006    0.000 fromnumeric.py:70(<dictcomp>)
    25226    0.006    0.000    0.006    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.006    0.006 pyplot.py:182(switch_backend)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.006    0.006 lines.py:1(<module>)
        1    0.000    0.000    0.005    0.005 patches.py:1(<module>)
        1    0.000    0.000    0.005    0.005 backend_tkagg.py:1(<module>)
     1274    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
        1    0.000    0.000    0.005    0.005 func_inspect.py:1(<module>)
    75338    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 logger.py:1(<module>)
       72    0.001    0.000    0.005    0.000 __init__.py:1525(_preprocess_data)
      150    0.000    0.000    0.005    0.000 cm.py:81(_generate_cmap)
        1    0.000    0.000    0.005    0.005 pyparsing.py:6381(pyparsing_common)
     1423    0.001    0.000    0.005    0.000 _ufunc_config.py:429(__enter__)
      597    0.005    0.000    0.005    0.000 {built-in method io.open_code}
       77    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
       64    0.001    0.000    0.005    0.000 colors.py:729(from_list)
      684    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        2    0.000    0.000    0.005    0.002 _base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _backend_tk.py:1(<module>)
      590    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
     2508    0.001    0.000    0.005    0.000 enum.py:313(__call__)
       24    0.000    0.000    0.004    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:4(<module>)
        3    0.000    0.000    0.004    0.001 __init__.py:2(<module>)
