         2762322 function calls (2682407 primitive calls) in 3.838 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 rcsetup.py:46(__init__)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
     1151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
        1    0.000    0.000    0.000    0.000 _methods.py:107(_clip_dep_invoke_with_casting)
    393/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
        1    0.000    0.000    0.000    0.000 subprocess.py:1101(_close_pipe_fds)
       17    0.000    0.000    0.000    0.000 abc.py:89(register)
        2    0.000    0.000    0.000    0.000 __init__.py:1590(cpu_times)
        5    0.000    0.000    0.000    0.000 inspect.py:3057(__str__)
       22    0.000    0.000    0.000    0.000 pathlib.py:658(_parse_args)
     45/1    0.000    0.000    0.000    0.000 __config__.py:20(<dictcomp>)
      192    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:874(copy)
       31    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:875(<dictcomp>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        2    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       83    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
       22    0.000    0.000    0.000    0.000 artist.py:20(allow_rasterization)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4069(__str__)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(cross)
       17    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:362(_get_scalar_type_map)
       12    0.000    0.000    0.000    0.000 textwrap.py:465(indent)
       26    0.000    0.000    0.000    0.000 core.py:914(__init__)
     1523    0.000    0.000    0.000    0.000 inspect.py:2547(annotation)
        2    0.000    0.000    0.000    0.000 {setTrackbarPos}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_code_to_timestamp_pyc)
       14    0.000    0.000    0.000    0.000 hashlib.py:123(__get_openssl_constructor)
        2    0.000    0.000    0.000    0.000 queues.py:10(<module>)
        1    0.000    0.000    0.000    0.000 mathtext.py:224(MathtextBackendPs)
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 sysconfig.py:343(get_makefile_filename)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:373(<dictcomp>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:861(<listcomp>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       31    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.000    0.000 textpath.py:19(TextToPath)
      107    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       10    0.000    0.000    0.000    0.000 rcsetup.py:345(validate_color_or_inherit)
      700    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       42    0.000    0.000    0.000    0.000 pyparsing.py:946(copy)
      194    0.000    0.000    0.000    0.000 __init__.py:42(<lambda>)
        2    0.000    0.000    0.000    0.000 numeric.py:1485(cross)
        2    0.000    0.000    0.000    0.000 load_config_py3.py:6(exec_file_wrapper)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        2    0.000    0.000    0.000    0.000 tokenize.py:388(open)
      171    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       96    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 {rectangle}
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      117    0.000    0.000    0.000    0.000 sre_parse.py:1054(expand_template)
      145    0.000    0.000    0.000    0.000 inspect.py:726(getmodule)
       40    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       24    0.000    0.000    0.000    0.000 dviread.py:154(decorate)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
       15    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
        1    0.000    0.000    0.000    0.000 __init__.py:731(RcParams)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:990(__init__)
        1    0.000    0.000    0.000    0.000 image.py:1273(BboxImage)
      131    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        7    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        4    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4824(__init__)
        2    0.000    0.000    0.000    0.000 shape_base.py:222(vstack)
        8    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        1    0.000    0.000    0.000    0.000 utils.py:75(wrap)
      115    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       35    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        2    0.000    0.000    0.000    0.000 sysconfig.py:165(_extend_dict)
       22    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
     1603    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       54    0.000    0.000    0.000    0.000 pyparsing.py:3354(__str__)
      707    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       24    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
      133    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:560(_get_config_or_cache_dir)
      575    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 patches.py:1864(<listcomp>)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:312(_ColorbarMappableDummy)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6746(pyparsing_unicode)
      153    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
        2    0.000    0.000    0.000    0.000 sysconfig.py:105(_safe_realpath)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        6    0.000    0.000    0.000    0.000 numeric.py:2531(extend_all)
        1    0.000    0.000    0.000    0.000 _base.py:410(_AxesBase)
      314    0.000    0.000    0.000    0.000 overrides.py:128(array_function_dispatch)
       62    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 text.py:1954(Annotation)
      347    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 __init__.py:536(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 docstring.py:1(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:50(modules_filter)
        5    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
      295    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        7    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
     1148    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       22    0.000    0.000    0.000    0.000 pathlib.py:64(parse_parts)
        3    0.000    0.000    0.000    0.000 function_base.py:2330(_get_ufunc_and_otypes)
       28    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
       33    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        4    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:593(_ReducedHCT_Element)
      128    0.000    0.000    0.000    0.000 numerictypes.py:282(issubclass_)
        1    0.000    0.000    0.000    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
      129    0.000    0.000    0.000    0.000 os.py:748(encode)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:5312(delimitedList)
        1    0.000    0.000    0.000    0.000 core.py:6490(__new__)
       34    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
      133    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
      590    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
      480    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        6    0.000    0.000    0.000    0.000 core.py:1139(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
      173    0.000    0.000    0.000    0.000 rcsetup.py:58(__call__)
        1    0.000    0.000    0.000    0.000 synchronize.py:11(<module>)
        1    0.000    0.000    0.000    0.000 legend.py:321(Legend)
       28    0.000    0.000    0.000    0.000 rcsetup.py:56(<dictcomp>)
        1    0.000    0.000    0.000    0.000 pyplot.py:654(close)
        1    0.000    0.000    0.000    0.000 _pslinux.py:593(per_cpu_times)
       27    0.000    0.000    0.000    0.000 locale.py:651(getpreferredencoding)
       86    0.000    0.000    0.000    0.000 pyparsing.py:4074(<genexpr>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:66(destroy_all)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
      496    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      792    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {threshold}
      200    0.000    0.000    0.000    0.000 linalg.py:117(isComplexType)
       30    0.000    0.000    0.000    0.000 rcsetup.py:304(__call__)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:2573(__str__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1751(<dictcomp>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:1(<module>)
       13    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        3    0.000    0.000    0.000    0.000 pathlib.py:1281(mkdir)
      146    0.000    0.000    0.000    0.000 types.py:171(__get__)
      455    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:603(get_cachedir)
        1    0.000    0.000    0.000    0.000 events.py:99(TimerHandle)
       62    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 mathtext.py:269(MathtextBackendPdf)
        1    0.000    0.000    0.000    0.000 _cm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
       31    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       18    0.000    0.000    0.000    0.000 subprocess.py:1634(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method gc.collect}
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(moveaxis)
        7    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:82(install_repl_displayhook)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 quiver.py:437(Quiver)
        1    0.000    0.000    0.000    0.000 lines.py:204(Line2D)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1484(_setResultsName)
      732    0.000    0.000    0.000    0.000 inspect.py:2857(parameters)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
       55    0.000    0.000    0.000    0.000 rcsetup.py:995(_validate_linestyle)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       10    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(unique)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
       24    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      467    0.000    0.000    0.000    0.000 artist.py:1334(<genexpr>)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
      608    0.000    0.000    0.000    0.000 inspect.py:2861(return_annotation)
        1    0.000    0.000    0.000    0.000 spines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contour.py:50(ContourLabeler)
        1    0.000    0.000    0.000    0.000 __init__.py:298(Process)
      302    0.000    0.000    0.000    0.000 __init__.py:850(__iter__)
        5    0.000    0.000    0.000    0.000 inspect.py:1812(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
      373    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      406    0.000    0.000    0.000    0.000 deprecation.py:7(_deprecated)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
      324    0.000    0.000    0.000    0.000 rcsetup.py:144(validate_float)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:550(__init__)
        6    0.000    0.000    0.000    0.000 patches.py:1857(<listcomp>)
       19    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f1633dbb040}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2162(__radd__)
        6    0.000    0.000    0.000    0.000 numeric.py:1410(moveaxis)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_home)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3220(_Backend)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1774(set)
       76    0.000    0.000    0.000    0.000 __init__.py:813(__getitem__)
        6    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      121    0.000    0.000    0.000    0.000 pyparsing.py:1622(preParse)
        1    0.000    0.000    0.000    0.000 patches.py:3936(FancyArrowPatch)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:99(GArray)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:1011(_DOF_estimator)
       48    0.000    0.000    0.000    0.000 lapack.py:861(backtickrepl)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:2380(deprecated)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
       81    0.000    0.000    0.000    0.000 function_base.py:346(iterable)
        2    0.000    0.000    0.000    0.000 arraysetops.py:138(unique)
       31    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _differentiable_functions.py:1(<module>)
    36/32    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
        2    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 geo.py:311(HammerAxes)
        1    0.000    0.000    0.000    0.000 patches.py:2455(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 __init__.py:44(GOpaque)
       16    0.000    0.000    0.000    0.000 typing.py:586(__init__)
      590    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
       21    0.000    0.000    0.000    0.000 re.py:325(_subx)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2400(__call__)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        2    0.000    0.000    0.000    0.000 deprecation.py:374(_make_keyword_only)
       34    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      175    0.000    0.000    0.000    0.000 os.py:752(decode)
       76    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        1    0.000    0.000    0.000    0.000 triangulation.py:5(Complex)
      254    0.000    0.000    0.000    0.000 pyparsing.py:3866(<genexpr>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dual_annealing.py:6(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:913(AuxTransformBox)
      324    0.000    0.000    0.000    0.000 _internal.py:881(<genexpr>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
       60    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 arrayterator.py:16(Arrayterator)
       19    0.000    0.000    0.000    0.000 posixpath.py:164(islink)
        1    0.000    0.000    0.000    0.000 _decomp.py:16(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:132(_family)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1771(get)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4655(__init__)
       11    0.000    0.000    0.000    0.000 decorator.py:127(update)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4261(__str__)
        1    0.000    0.000    0.000    0.000 protocols.py:1(<module>)
        2    0.000    0.000    0.000    0.000 contextlib.py:429(callback)
        4    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
      139    0.000    0.000    0.000    0.000 pyparsing.py:2571(__eq__)
      455    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 blocking_input.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
      175    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1561(addParseAction)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       45    0.000    0.000    0.000    0.000 posixpath.py:228(expanduser)
        1    0.000    0.000    0.000    0.000 text.py:98(Text)
       31    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:370(__getattr__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
        2    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        2    0.000    0.000    0.000    0.000 arraysetops.py:323(_unique1d)
        1    0.000    0.000    0.000    0.000 __init__.py:49(__collect_extra_submodules)
       14    0.000    0.000    0.000    0.000 core.py:8166(_replace_return_type)
       40    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
       19    0.000    0.000    0.000    0.000 inspect.py:1207(formatannotation)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
        6    0.000    0.000    0.000    0.000 dataclasses.py:356(_recursive_repr)
      100    0.000    0.000    0.000    0.000 _base.py:1301(isspmatrix)
       31    0.000    0.000    0.000    0.000 typing.py:358(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:1145(Arrow)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        7    0.000    0.000    0.000    0.000 _arrays.py:57(_matrix_doc_to_array)
       63    0.000    0.000    0.000    0.000 rcsetup.py:447(validate_fontsize)
        1    0.000    0.000    0.000    0.000 colors.py:88(<dictcomp>)
       28    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:2162(sum)
        1    0.000    0.000    0.000    0.000 _psposix.py:66(<listcomp>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing_extensions.py:665(__init_subclass__)
       46    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
        1    0.000    0.000    0.000    0.000 {cvtColor}
        3    0.000    0.000    0.000    0.000 backend_bases.py:3313(export)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _methods.py:42(_amin)
        1    0.000    0.000    0.000    0.000 tempfile.py:283(__next__)
       31    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
        1    0.000    0.000    0.000    0.000 font_manager.py:972(FontManager)
       33    0.000    0.000    0.000    0.000 cm.py:40(_reverser)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spines.py:11(Spine)
       10    0.000    0.000    0.000    0.000 version.py:302(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:339(<listcomp>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:1572(Arc)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3209(__str__)
        1    0.000    0.000    0.000    0.000 win.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _pslinux.py:577(cpu_times)
        2    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
      224    0.000    0.000    0.000    0.000 patches.py:1864(<genexpr>)
        1    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
      373    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:103(FullHessianUpdateStrategy)
        1    0.000    0.000    0.000    0.000 _parser.py:569(__init__)
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:1(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       14    0.000    0.000    0.000    0.000 typing_extensions.py:183(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 core.py:2814(__new__)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:1(<module>)
       82    0.000    0.000    0.000    0.000 os.py:693(__iter__)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       38    0.000    0.000    0.000    0.000 colors.py:825(__init__)
      141    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
        6    0.000    0.000    0.000    0.000 deprecation.py:353(<listcomp>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(mean)
        1    0.000    0.000    0.000    0.000 _parser.py:294(__init__)
        1    0.000    0.000    0.000    0.000 textpath.py:388(TextPath)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
       10    0.000    0.000    0.000    0.000 version.py:307(parse)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 patches.py:4326(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 _sf_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ticker.py:1842(_Edge_integer)
        8    0.000    0.000    0.000    0.000 pyparsing.py:5690(<genexpr>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
    66/54    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _kdtree.py:206(KDTree)
        1    0.000    0.000    0.000    0.000 _norm.py:1(<module>)
        2    0.000    0.000    0.000    0.000 re.py:315(_compile_repl)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _common.py:413(memoize_when_activated)
       30    0.000    0.000    0.000    0.000 dataclasses.py:751(_set_new_attribute)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4758(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:1571(addCondition)
        1    0.000    0.000    0.000    0.000 __init__.py:225(<listcomp>)
        3    0.000    0.000    0.000    0.000 blas.py:384(getter)
        3    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        6    0.000    0.000    0.000    0.000 pyparsing.py:5688(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:322(_sanity_check)
       33    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 core.py:2972(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3313(mean)
       19    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        4    0.000    0.000    0.000    0.000 ssl.py:451(__new__)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       73    0.000    0.000    0.000    0.000 inspect.py:513(_is_wrapper)
