         12397635 function calls (11959433 primitive calls) in 17.508 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5304    0.002    0.000    0.025    0.000 re.py:198(search)
        1    0.004    0.004    0.025    0.025 submission.py:465(compute_alpha)
   412668    0.025    0.000    0.025    0.000 submission.py:163(dummy)
      213    0.008    0.000    0.024    0.000 artist.py:1521(get_setters)
        1    0.000    0.000    0.023    0.023 __init__.py:68(bootstrap)
        3    0.000    0.000    0.022    0.007 core.py:1(<module>)
        9    0.000    0.000    0.022    0.002 _base.py:734(__init_subclass__)
        1    0.000    0.000    0.021    0.021 _laplacian.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:25(<module>)
        1    0.000    0.000    0.018    0.018 colors.py:1(<module>)
        3    0.005    0.002    0.018    0.006 submission.py:96(get_edge_vectors)
        1    0.000    0.000    0.017    0.017 parallel.py:1(<module>)
        5    0.000    0.000    0.017    0.003 version.py:1(<module>)
      132    0.000    0.000    0.017    0.000 _docstring.py:38(__call__)
  122/111    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
      725    0.000    0.000    0.016    0.000 inspect.py:3103(signature)
  807/735    0.002    0.000    0.016    0.000 inspect.py:2218(_signature_from_callable)
      725    0.000    0.000    0.016    0.000 inspect.py:2851(from_callable)
      284    0.000    0.000    0.016    0.000 sre_compile.py:598(_code)
       30    0.002    0.000    0.015    0.000 __init__.py:835(_rc_params_in_file)
      773    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
        1    0.000    0.000    0.014    0.014 _parallel_backends.py:1(<module>)
        1    0.000    0.000    0.014    0.014 async_case.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pool.py:1(<module>)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.013    0.013 _memmapping_reducer.py:1(<module>)
        1    0.000    0.000    0.013    0.013 memory.py:1(<module>)
        1    0.000    0.000    0.013    0.013 art3d.py:5(<module>)
     9277    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.012    0.012 markers.py:5(<module>)
 1779/284    0.005    0.000    0.012    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.012    0.012 _parser.py:1(<module>)
      213    0.006    0.000    0.012    0.000 artist.py:1457(<listcomp>)
      954    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        3    0.003    0.001    0.012    0.004 submission.py:77(identification_function_parameter_register)
       45    0.012    0.000    0.012    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.012    0.012 _tokenizer.py:1(<module>)
        1    0.000    0.000    0.011    0.011 lgmres.py:4(<module>)
      715    0.004    0.000    0.011    0.000 inspect.py:2124(_signature_from_function)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
        1    0.000    0.000    0.011    0.011 Image.py:27(<module>)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
      439    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.010    0.005 core.py:235(read_style_directory)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
21758/21626    0.005    0.000    0.010    0.000 {method 'join' of 'str' objects}
     3860    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.010    0.010 _importlib.py:1(<module>)
        1    0.000    0.000    0.010    0.010 base_events.py:1(<module>)
      969    0.001    0.000    0.010    0.000 __init__.py:699(__setitem__)
    73344    0.009    0.000    0.009    0.000 {built-in method builtins.getattr}
     1546    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     3966    0.009    0.000    0.009    0.000 {built-in method posix.stat}
       62    0.001    0.000    0.009    0.000 __init__.py:23(__load_extra_py_code_for_module)
        1    0.000    0.000    0.009    0.009 _geometric_slerp.py:1(<module>)
        6    0.000    0.000    0.009    0.001 __init__.py:51(create_module)
        6    0.000    0.000    0.009    0.001 __init__.py:29(load_module)
     7925    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
        1    0.000    0.000    0.009    0.009 distance.py:1(<module>)
       55    0.004    0.000    0.008    0.000 enum.py:157(__new__)
     6642    0.005    0.000    0.008    0.000 inspect.py:2489(__init__)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
        3    0.001    0.000    0.008    0.003 function_base.py:2276(__call__)
        2    0.000    0.000    0.008    0.004 {method 'mean' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.008    0.003 _methods.py:162(_mean)
      429    0.000    0.000    0.008    0.000 artist.py:1540(number_of_parameters)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.007    0.007 core.py:5(<module>)
    94299    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.007    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 reusable_executor.py:6(<module>)
    76062    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
150598/148701    0.007    0.000    0.007    0.000 {built-in method builtins.len}
        3    0.003    0.001    0.007    0.002 function_base.py:2375(_vectorize_call)
        1    0.000    0.000    0.007    0.007 process_executor.py:15(<module>)
       92    0.001    0.000    0.007    0.000 __init__.py:1372(_preprocess_data)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
     1637    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:376(cached)
  657/615    0.000    0.000    0.007    0.000 typing.py:255(inner)
     7269    0.002    0.000    0.007    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.006    0.006 specifiers.py:4(<module>)
      929    0.000    0.000    0.006    0.000 artist.py:1546(is_alias)
      773    0.006    0.000    0.006    0.000 {built-in method io.open_code}
      864    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.006    0.006 __init__.py:7(<module>)
      994    0.005    0.000    0.006    0.000 inspect.py:2772(__init__)
        1    0.000    0.000    0.006    0.006 override.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:68(do_override)
        1    0.000    0.000    0.006    0.006 __init__.py:51(ensure_local_distutils)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
       93    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.006    0.006 func_inspect.py:1(<module>)
    53981    0.006    0.000    0.006    0.000 {built-in method builtins.min}
     4050    0.003    0.000    0.006    0.000 artist.py:1559(aliased_name)
        1    0.000    0.000    0.006    0.006 logger.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {imread}
        1    0.000    0.000    0.006    0.006 axis3d.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:825(version)
    16680    0.003    0.000    0.005    0.000 sre_parse.py:254(get)
      996    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
        4    0.000    0.000    0.005    0.001 __init__.py:2(<module>)
      100    0.001    0.000    0.005    0.000 artist.py:170(<listcomp>)
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
      773    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
      548    0.000    0.000    0.005    0.000 {built-in method builtins.next}
     1368    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
     1437    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
