         28432909 function calls (28411067 primitive calls) in 212.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      213    0.006    0.000    0.038    0.000 artist.py:1446(get_aliases)
      702    0.004    0.000    0.037    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      207    0.006    0.000    0.036    0.000 context.py:148(_cpu_count_cgroup)
        1    0.000    0.000    0.035    0.035 _axes.py:1(<module>)
      103    0.001    0.000    0.035    0.000 _parallel_backends.py:557(effective_n_jobs)
        1    0.000    0.000    0.035    0.035 _fontconfig_pattern.py:1(<module>)
      206    0.001    0.000    0.034    0.000 _memmapping_reducer.py:541(register_new_context)
        1    0.000    0.000    0.034    0.034 __init__.py:25(<module>)
      230    0.001    0.000    0.033    0.000 sre_compile.py:759(compile)
       71    0.000    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
       71    0.031    0.000    0.032    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.032    0.032 _kdtree.py:3(<module>)
        2    0.000    0.000    0.032    0.016 _base.py:1(<module>)
     4944    0.011    0.000    0.031    0.000 queue.py:121(put)
        1    0.000    0.000    0.031    0.031 patches.py:1(<module>)
      678    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
  679/678    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     2472    0.002    0.000    0.028    0.000 process_executor.py:130(wakeup)
        1    0.000    0.000    0.027    0.027 axes3d.py:1(<module>)
    46459    0.026    0.000    0.026    0.000 parallel.py:751(_return_or_raise)
      103    0.001    0.000    0.026    0.000 _memmapping_reducer.py:522(__init__)
     2472    0.007    0.000    0.026    0.000 connection.py:181(send_bytes)
     5304    0.002    0.000    0.025    0.000 re.py:198(search)
        1    0.000    0.000    0.024    0.024 __init__.py:68(bootstrap)
     1074    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     2472    0.005    0.000    0.024    0.000 submission.py:373(<genexpr>)
        1    0.000    0.000    0.024    0.024 colors.py:1(<module>)
      213    0.008    0.000    0.024    0.000 artist.py:1521(get_setters)
        9    0.000    0.000    0.023    0.003 _base.py:734(__init_subclass__)
      103    0.006    0.000    0.023    0.000 parallel.py:1176(__init__)
        1    0.000    0.000    0.023    0.023 _laplacian.py:1(<module>)
236194/234901    0.021    0.000    0.023    0.000 {built-in method builtins.len}
      103    0.000    0.000    0.022    0.000 _memmapping_reducer.py:537(set_current_context)
      206    0.003    0.000    0.021    0.000 _memmapping_reducer.py:172(_get_temp_dir)
     4424    0.021    0.000    0.021    0.000 {built-in method posix.stat}
      230    0.001    0.000    0.020    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.020    0.020 core.py:5(<module>)
       83    0.000    0.000    0.019    0.000 re.py:250(compile)
  524/230    0.001    0.000    0.019    0.000 sre_parse.py:435(_parse_sub)
     2472    0.004    0.000    0.019    0.000 parallel.py:654(delayed)
     7422    0.019    0.000    0.019    0.000 {method 'acquire' of '_thread.lock' objects}
     2781    0.007    0.000    0.019    0.000 queue.py:153(get)
      103    0.002    0.000    0.019    0.000 _parallel_backends.py:171(_prepare_worker_env)
        2    0.000    0.000    0.019    0.009 core.py:1(<module>)
      103    0.000    0.000    0.019    0.000 parallel.py:1354(_terminate_and_reset)
    56523    0.019    0.000    0.019    0.000 parallel.py:1664(_wait_retrieval)
        1    0.001    0.001    0.019    0.019 submission.py:60(<dictcomp>)
  580/235    0.007    0.000    0.018    0.000 sre_parse.py:493(_parse)
      103    0.001    0.000    0.018    0.000 _parallel_backends.py:617(terminate)
     3760    0.010    0.000    0.018    0.000 functools.py:34(update_wrapper)
      650    0.000    0.000    0.018    0.000 <__array_function__ internals>:177(cross)
     2472    0.001    0.000    0.018    0.000 process_executor.py:1156(_start_executor_manager_thread)
        1    0.000    0.000    0.018    0.018 parallel.py:1(<module>)
      132    0.000    0.000    0.018    0.000 _docstring.py:38(__call__)
      103    0.002    0.000    0.018    0.000 _memmapping_reducer.py:603(_clean_temporary_resources)
      650    0.006    0.000    0.017    0.000 numeric.py:1479(cross)
  122/111    0.000    0.000    0.017    0.000 _docstring.py:79(__call__)
        1    0.000    0.000    0.017    0.017 threading.py:834(start)
        1    0.000    0.000    0.017    0.017 threading.py:540(wait)
        1    0.000    0.000    0.017    0.017 threading.py:270(wait)
    56420    0.017    0.000    0.017    0.000 parallel.py:759(get_status)
     2472    0.004    0.000    0.017    0.000 connection.py:390(_send_bytes)
       30    0.002    0.000    0.016    0.001 __init__.py:835(_rc_params_in_file)
        1    0.000    0.000    0.016    0.016 _parallel_backends.py:1(<module>)
      464    0.013    0.000    0.016    0.000 {built-in method io.open}
     1352    0.002    0.000    0.016    0.000 genericpath.py:16(exists)
      717    0.000    0.000    0.016    0.000 inspect.py:3103(signature)
        1    0.000    0.000    0.016    0.016 pool.py:1(<module>)
  798/727    0.002    0.000    0.015    0.000 inspect.py:2218(_signature_from_callable)
      717    0.000    0.000    0.015    0.000 inspect.py:2851(from_callable)
        1    0.000    0.000    0.015    0.015 Image.py:27(<module>)
    92093    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.015    0.015 _memmapping_reducer.py:1(<module>)
     7417    0.009    0.000    0.015    0.000 threading.py:341(notify)
       12    0.000    0.000    0.014    0.001 _docstring.py:51(__missing__)
        1    0.000    0.000    0.013    0.013 art3d.py:5(<module>)
     9277    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      213    0.006    0.000    0.012    0.000 artist.py:1457(<listcomp>)
73814/73093    0.008    0.000    0.012    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.012    0.012 lgmres.py:4(<module>)
     2472    0.004    0.000    0.012    0.000 _base.py:316(__init__)
      530    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     3344    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x902780}
      230    0.000    0.000    0.012    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
      126    0.000    0.000    0.011    0.000 abc.py:84(__new__)
     1950    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(moveaxis)
     2472    0.002    0.000    0.011    0.000 connection.py:365(_send)
        2    0.000    0.000    0.011    0.005 core.py:235(read_style_directory)
      206    0.001    0.000    0.011    0.000 _memmapping_reducer.py:573(register_folder_finalizer)
      707    0.004    0.000    0.011    0.000 inspect.py:2124(_signature_from_function)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 overrides.py:1(<module>)
      969    0.001    0.000    0.011    0.000 __init__.py:699(__setitem__)
        1    0.000    0.000    0.011    0.011 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
     3160    0.011    0.000    0.011    0.000 {built-in method posix.write}
      438    0.011    0.000    0.011    0.000 {built-in method builtins.dir}
       24    0.000    0.000    0.011    0.000 reduction.py:205(dump)
        1    0.000    0.000    0.011    0.011 offsetbox.py:1(<module>)
        1    0.000    0.000    0.010    0.010 distance.py:1(<module>)
19487/19355    0.005    0.000    0.010    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.010    0.010 reusable_executor.py:6(<module>)
        1    0.000    0.000    0.010    0.010 axis.py:1(<module>)
     2787    0.008    0.000    0.010    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.010    0.010 process_executor.py:15(<module>)
        4    0.000    0.000    0.010    0.002 utils.py:1(<module>)
     1950    0.003    0.000    0.010    0.000 numeric.py:1404(moveaxis)
      135    0.010    0.000    0.010    0.000 {method 'astype' of 'numpy.ndarray' objects}
      351    0.001    0.000    0.009    0.000 resource_tracker.py:87(ensure_running)
      224    0.001    0.000    0.009    0.000 resource_tracker.py:176(register)
       62    0.001    0.000    0.009    0.000 __init__.py:23(__load_extra_py_code_for_module)
      103    0.009    0.000    0.009    0.000 {threshold}
      682    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.009    0.009 __init__.py:7(<module>)
      103    0.000    0.000    0.009    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
 1251/230    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 memory.py:1(<module>)
      103    0.000    0.000    0.008    0.000 _methods.py:42(_amin)
     2472    0.004    0.000    0.008    0.000 _base.py:396(add_done_callback)
      103    0.004    0.000    0.008    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     2885    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     6612    0.005    0.000    0.008    0.000 inspect.py:2489(__init__)
        1    0.000    0.000    0.008    0.008 _add_newdocs_scalars.py:1(<module>)
    10199    0.005    0.000    0.008    0.000 threading.py:246(__enter__)
      103    0.001    0.000    0.008    0.000 disk.py:105(delete_folder)
       40    0.005    0.000    0.008    0.000 enum.py:157(__new__)
        1    0.000    0.000    0.008    0.008 image.py:1(<module>)
      412    0.002    0.000    0.007    0.000 uuid.py:780(uuid4)
      103    0.001    0.000    0.007    0.000 _utils.py:20(eval_expr)
    92996    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
       24    0.000    0.000    0.007    0.000 cloudpickle_fast.py:630(dump)
       24    0.002    0.000    0.007    0.000 {function CloudPickler.dump at 0x7fc2ebf49b80}
      429    0.000    0.000    0.007    0.000 artist.py:1540(number_of_parameters)
     6031    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
    53124    0.007    0.000    0.007    0.000 {built-in method builtins.min}
     1060    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
       92    0.001    0.000    0.006    0.000 __init__.py:1372(_preprocess_data)
     2472    0.004    0.000    0.006    0.000 _parallel_backends.py:141(get_nested_backend)
      929    0.000    0.000    0.006    0.000 artist.py:1546(is_alias)
    10199    0.005    0.000    0.006    0.000 threading.py:249(__exit__)
      418    0.004    0.000    0.006    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     2461    0.003    0.000    0.006    0.000 os.py:670(__getitem__)
     4050    0.003    0.000    0.006    0.000 artist.py:1559(aliased_name)
     7117    0.002    0.000    0.006    0.000 enum.py:313(__call__)
        1    0.000    0.000    0.006    0.006 _pslinux.py:5(<module>)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
        1    0.006    0.006    0.006    0.006 {imread}
     7418    0.003    0.000    0.006    0.000 threading.py:261(_is_owned)
       81    0.002    0.000    0.006    0.000 __init__.py:313(namedtuple)
     4003    0.004    0.000    0.006    0.000 numeric.py:1341(normalize_axis_tuple)
        1    0.000    0.000    0.006    0.006 ExifTags.py:12(<module>)
     1154    0.002    0.000    0.006    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.006    0.001 __init__.py:2(<module>)
        1    0.000    0.000    0.006    0.006 axis3d.py:5(<module>)
      206    0.001    0.000    0.006    0.000 os.py:198(makedirs)
      985    0.004    0.000    0.006    0.000 inspect.py:2772(__init__)
        1    0.000    0.000    0.005    0.005 cm.py:1(<module>)
    48931    0.005    0.000    0.005    0.000 {method 'popleft' of 'collections.deque' objects}
      103    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
      103    0.001    0.000    0.005    0.000 shutil.py:682(rmtree)
      100    0.001    0.000    0.005    0.000 artist.py:170(<listcomp>)
     1131    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
      271    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
      207    0.005    0.000    0.005    0.000 {built-in method posix.cpu_count}
      530    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
      152    0.005    0.000    0.005    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
      677    0.002    0.000    0.005    0.000 resource_tracker.py:191(_send)
       24    0.000    0.000    0.005    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
      530    0.005    0.000    0.005    0.000 {built-in method io.open_code}
    73929    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
      416    0.004    0.000    0.005    0.000 uuid.py:132(__init__)
       13    0.000    0.000    0.005    0.000 context.py:325(BoundedSemaphore)
        1    0.000    0.000    0.005    0.005 py3k.py:1(<module>)
      125    0.000    0.000    0.005    0.000 ast.py:30(parse)
  315/297    0.000    0.000    0.005    0.000 typing.py:255(inner)
      601    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.005    0.005 cm.py:33(_gen_cmap_registry)
       41    0.000    0.000    0.004    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       11    0.000    0.000    0.004    0.000 core.py:1132(parse_string)
       18    0.000    0.000    0.004    0.000 platform.py:885(system)
      316    0.001    0.000    0.004    0.000 overrides.py:170(decorator)
       35    0.000    0.000    0.004    0.000 platform.py:747(uname)
      103    0.002    0.000    0.004    0.000 parallel.py:142(_get_active_backend)
        1    0.000    0.000    0.004    0.004 platform.py:604(_syscmd_uname)
       18    0.002    0.000    0.004    0.000 synchronize.py:65(__init__)
       18    0.000    0.000    0.004    0.000 rcsetup.py:721(validate_cycler)
      103    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(mean)
        1    0.000    0.000    0.004    0.004 func_inspect.py:1(<module>)
      103    0.002    0.000    0.004    0.000 reusable_executor.py:131(get_reusable_executor)
      103    0.000    0.000    0.004    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 common.py:2(<module>)
        1    0.000    0.000    0.004    0.004 logger.py:1(<module>)
      103    0.000    0.000    0.004    0.000 _methods.py:38(_amax)
        1    0.000    0.000    0.004    0.004 helpers.py:2(<module>)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        1    0.000    0.000    0.004    0.004 _codata.py:7(<module>)
        1    0.000    0.000    0.004    0.004 resource_tracker.py:356(spawnv_passfds)
